Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C5",0603,3,10uf,
"C10, C17",0603,2,1uf,
"C11, C12, C14, C15, C18, C2, C25, C4, C6, C8",0603,10,100nf,
C13,0603,1,4.7uf,
C16,0603,1,10nf,
"C19, C20, C21, C22, C23",0603,5,470nf,
C24,CP_Elec_8x6.5,1,100uf,C401616
C7,CP_Elec_10x10.5,1,330uf,C336775
C9,CP_Elec_8x10.5,1,220uf,C336709
D1,0603,1,LED1,
D2,D_SMA,1,SK34,C8678
D3,D_SMA,1,1n4001,
D4,0603,1,3.3v,
F1,0603,1,300mA,C910820
FB1,0603,1,Bead,C1002
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C,C2765186
J11,Molex_PicoBlade_53398-0471_1x04-1MP_P1.25mm_Vertical,1,LCD,C234195
J13,Molex_PicoBlade_53398-0471_1x04-1MP_P1.25mm_Vertical,1,GPS,C234195
J3,"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",1,BTN1,C507005
J4,"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",1,BTN2,C507005
J5,"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",1,BTN3,C507005
J6,"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",1,BTN4,C507005
J7,"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",1,BTN5,C507005
J8,BarrelJack_Horizontal,1,VIN,
L1,Inductor_4.5x4mm,1,68uh,C324241
"Q1, Q2, Q3",SOT-23,3,BC847,C181140
"R1, R11, R12",0603,3,4.7k,
"R10, R13, R14, R9",0603,4,330,
"R15, R16",0603,2,5.1k,
"R17, R2, R3, R4, R5, R6, R7, R8",0603,8,10k,
"R18, R19",0603,2,0,
SW1,SW_TS-1187A-B-A-B,1,RST,C318884
SW2,SW_TS-1187A-B-A-B,1,BOOT,C318884
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U3,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,C6568
U4,E22-900T22S,1,~,C411289
U5,SOT-23-6,1,SRV05-4,C7420376
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,XL1509-5.0,C61063
